[Test 4 : No action (2,000)]
2021-01-08 03:43:28,222 : R << 8=FIX.4.2 9=220 35=8 34=3 49=VTUAT 52=20210107-19:43:28.672 56=TWUAT 6=0 11=1610048603844 14=0 15=USD 17=3228328 20=0 31=0 32=0 37=BV12437759 38=2650 39=0 40=1 54=1 55=NOK 58=ACCEPTED 59=0 60=20210107-19:43:11.593 150=0 151=2650 167=CS 10=032
2021-01-08 03:43:28,224 : R << 8=FIX.4.2 9=239 35=8 34=4 49=VTUAT 52=20210107-19:43:28.674 56=TWUAT 6=4.01 11=1610048603844 14=1000 15=USD 17=3228329 20=0 31=4.01 32=1000 37=BV12437759 38=2650 39=1 40=1 54=1 55=NOK 58=PARTIAL 59=0 60=20210107-19:43:11.597 76=GNSS 150=1 151=1650 167=CS 10=053
2021-01-08 03:43:28,227 : R << 8=FIX.4.2 9=235 35=8 34=5 49=VTUAT 52=20210107-19:43:28.677 56=TWUAT 6=4.01 11=1610048603844 14=2650 15=USD 17=3228330 20=0 31=4.01 32=1650 37=BV12437759 38=2650 39=2 40=1 54=1 55=NOK 58=FILLED 59=0 60=20210107-19:43:11.613 76=GNSS 150=2 151=0 167=CS 10=066
2021-01-08 03:43:31,732 : R << 8=FIX.4.2 9=236 35=8 34=6 49=VTUAT 52=20210107-19:43:32.181 56=TWUAT 6=4.01 11=1610048603844 14=1000 15=USD 17=3228331 19=3228330 20=1 31=0 32=0 37=BV12437759 38=2650 39=1 40=1 54=1 55=NOK 58=PARTIAL 59=0 60=20210107-19:43:16.593 150=1 151=1650 167=CS 10=038
2021-01-08 03:43:33,799 : R << 8=FIX.4.2 9=235 35=8 34=7 49=VTUAT 52=20210107-19:43:34.249 56=TWUAT 6=4.01 11=1610048603844 14=2650 15=USD 17=3228332 20=0 31=4.01 32=1650 37=BV12437759 38=2650 39=2 40=1 54=1 55=NOK 58=FILLED 59=0 60=20210107-19:43:16.757 76=GNSS 150=2 151=0 167=CS 10=076

[Test 15 : Partial fill (2,700)]
2021-01-08 03:56:46,926 : S >> 8=FIX.4.2 9=141 35=D 34=2 49=TWUAT 52=20210107-19:56:46.000 56=VTUAT 1=TRYIKANG 11=1610049406925 21=1 38=2700 40=1 54=1 55=NOK 59=0 60=20210107-19:56:46.925 10=139
2021-01-08 03:56:49,226 : R << 8=FIX.4.2 9=223 35=8 34=2 49=VTUAT 52=20210107-19:56:49.685 56=TWUAT 6=0 11=1610049406925 14=0 15=USD 17=3228344 20=0 31=0 32=0 37=BV12437785 38=2700 39=A 40=1 54=1 55=NOK 58=PENDING NEW 59=0 60=20210107-19:56:34.220 150=A 151=2700 167=CS 10=024
2021-01-08 03:56:51,294 : R << 8=FIX.4.2 9=220 35=8 34=3 49=VTUAT 52=20210107-19:56:51.753 56=TWUAT 6=0 11=1610049406925 14=0 15=USD 17=3228346 20=0 31=0 32=0 37=BV12437785 38=2700 39=0 40=1 54=1 55=NOK 58=ACCEPTED 59=0 60=20210107-19:56:34.660 150=0 151=2700 167=CS 10=029
2021-01-08 03:56:51,297 : R << 8=FIX.4.2 9=241 35=8 34=4 49=VTUAT 52=20210107-19:56:51.755 56=TWUAT 6=3.9902 11=1610049406925 14=700 15=USD 17=3228347 20=0 31=3.9902 32=700 37=BV12437785 38=2700 39=1 40=1 54=1 55=NOK 58=PARTIAL 59=0 60=20210107-19:56:34.660 76=GNSS 150=1 151=2000 167=CS 10=177
2021-01-08 03:56:51,299 : S >> 8=FIX.4.2 9=135 35=F 34=3 49=TWUAT 52=20210107-19:56:51.000 56=VTUAT 1=TRYIKANG 11=1610049411299 41=1610049406925 54=1 55=NOK 60=20210107-19:56:51.299 10=220 
2021-01-08 03:56:55,640 : R << 8=FIX.4.2 9=250 35=8 34=5 49=VTUAT 52=20210107-19:56:56.098 56=TWUAT 6=3.9902 11=1610049411299 14=700 15=USD 17=3228349 20=0 31=0 32=0 37=BV12437785 38=2700 39=6 40=1 41=1610049406925 54=1 55=NOK 58=PENDING CANCEL 59=0 60=20210107-19:56:39.027 150=6 151=2000 167=CS 10=115
2021-01-08 03:56:55,643 : R << 8=FIX.4.2 9=242 35=8 34=6 49=VTUAT 52=20210107-19:56:56.100 56=TWUAT 6=3.9902 11=1610049411299 14=700 15=USD 17=3228350 20=0 31=0 32=0 37=BV12437785 38=2700 39=4 40=1 41=1610049406925 54=1 55=NOK 58=CANCELLED 59=0 60=20210107-19:56:39.027 150=4 151=0 167=CS 10=119

[Test 16 : Partial fill, cancel req, partial and cancel (2,800)]
2021-01-08 04:03:25,972 : S >> 8=FIX.4.2 9=141 35=D 34=2 49=TWUAT 52=20210107-20:03:25.000 56=VTUAT 1=TRYIKANG 11=1610049805971 21=1 38=2800 40=1 54=1 55=NOK 59=0 60=20210107-20:03:25.972 10=108
2021-01-08 04:03:28,306 : R << 8=FIX.4.2 9=223 35=8 34=2 49=VTUAT 52=20210107-20:03:28.771 56=TWUAT 6=0 11=1610049805971 14=0 15=USD 17=3228359 20=0 31=0 32=0 37=BV12437818 38=2800 39=A 40=1 54=1 55=NOK 58=PENDING NEW 59=0 60=20210107-20:03:13.283 150=A 151=2800 167=CS 10=000
2021-01-08 04:03:30,386 : R << 8=FIX.4.2 9=220 35=8 34=3 49=VTUAT 52=20210107-20:03:30.849 56=TWUAT 6=0 11=1610049805971 14=0 15=USD 17=3228361 20=0 31=0 32=0 37=BV12437818 38=2800 39=0 40=1 54=1 55=NOK 58=ACCEPTED 59=0 60=20210107-20:03:13.727 150=0 151=2800 167=CS 10=001
2021-01-08 04:03:30,388 : R << 8=FIX.4.2 9=239 35=8 34=4 49=VTUAT 52=20210107-20:03:30.852 56=TWUAT 6=3.995 11=1610049805971 14=700 15=USD 17=3228362 20=0 31=3.995 32=700 37=BV12437818 38=2800 39=1 40=1 54=1 55=NOK 58=PARTIAL 59=0 60=20210107-20:03:13.727 76=GNSS 150=1 151=2100 167=CS 10=058
2021-01-08 04:03:30,390 : S >> 8=FIX.4.2 9=135 35=F 34=3 49=TWUAT 52=20210107-20:03:30.000 56=VTUAT 1=TRYIKANG 11=1610049810390 41=1610049805971 54=1 55=NOK 60=20210107-20:03:30.390 10=173 
2021-01-08 04:03:34,754 : R << 8=FIX.4.2 9=249 35=8 34=5 49=VTUAT 52=20210107-20:03:35.217 56=TWUAT 6=3.995 11=1610049810390 14=700 15=USD 17=3228364 20=0 31=0 32=0 37=BV12437818 38=2800 39=6 40=1 41=1610049805971 54=1 55=NOK 58=PENDING CANCEL 59=0 60=20210107-20:03:18.083 150=6 151=2100 167=CS 10=030
2021-01-08 04:03:34,757 : R << 8=FIX.4.2 9=240 35=8 34=6 49=VTUAT 52=20210107-20:03:35.220 56=TWUAT 6=3.995 11=1610049805971 14=1000 15=USD 17=3228365 20=0 31=3.995 32=300 37=BV12437818 38=2800 39=1 40=1 54=1 55=NOK 58=PARTIAL 59=0 60=20210107-20:03:18.083 76=GNSS 150=1 151=1800 167=CS 10=093
2021-01-08 04:03:34,759 : R << 8=FIX.4.2 9=242 35=8 34=7 49=VTUAT 52=20210107-20:03:35.222 56=TWUAT 6=3.995 11=1610049810390 14=1000 15=USD 17=3228366 20=0 31=0 32=0 37=BV12437818 38=2800 39=4 40=1 41=1610049805971 54=1 55=NOK 58=CANCELLED 59=0 60=20210107-20:03:18.097 150=4 151=0 167=CS 10=095

[Test 17 : Partial, C/R, and fill (3,100)]
